label,gx_std,gx_range,gx_energy,gx_zcr,gy_std,gy_range,gy_energy,gy_zcr,gz_std,gz_range,gz_energy,gz_zcr,mag_mean,mag_max,mag_std,mag_energy,max_energy_ratio,min_energy_ratio
vertical_shake,11232.523079933815,35452.0,131438408.7635468,0.019801980198019802,1890.58177228483,10909.0,3590572.6502463054,0.15346534653465346,1324.7014673052367,8108.0,1920715.630541872,0.17326732673267325,10655.961641072392,18571.6615842525,4837.3731041060655,136949697.04433498,0.9597568421125897,0.014024971737762043
horizontal_shake,1254.9215967664736,5106.0,1599379.8620689656,0.054455445544554455,11402.17005227268,39641.0,134623068.4679803,0.019801980198019802,1429.3704842064667,6600.0,2209849.5024630544,0.04455445544554455,10370.706069163185,20426.105184297863,5557.045389371426,138432297.83251232,0.9724830879485886,0.011553516680074453
horizontal_shake,1418.6019152386634,7002.0,2016943.527093596,0.04455445544554455,11837.683702683624,39283.0,142808460.44827586,0.01485148514851485,1454.90877866057,7410.0,2237829.2709359606,0.07425742574257425,10805.810413030249,20923.28000099411,5504.3341617267815,147063233.2463054,0.9710684125181477,0.013714804731074868
horizontal_shake,1330.9078039866301,8016.0,1792158.1231527093,0.10396039603960396,11869.827195615148,37535.0,143693160.83743843,0.019801980198019802,1506.4679332514586,7611.0,2394733.7339901477,0.10396039603960396,11045.884599093322,20116.060200745076,5086.107167381966,147880052.69458127,0.9716872439463481,0.012118998407811485
rest,170.44926496754655,556.0,29058.778325123152,0.5,157.27502109344388,556.0,28500.433497536946,0.49504950495049505,128.53538667768558,304.0,16931.85714285714,0.47029702970297027,261.7661087805212,431.949071072042,77.26301352795903,74491.06896551725,0.39009748052581694,0.22730049894565332
vertical_shake,10391.547099105952,33842.0,109856775.03921568,0.019704433497536946,2096.24889012774,10849.0,4504959.137254902,0.1330049261083744,1443.8270843691298,7738.0,2118694.9901960786,0.13793103448275862,9963.4978257582,18815.05484977389,4148.3900784253965,116480429.16666667,0.9431350470217319,0.018189278708481853
vertical_shake,10030.282172719,31836.0,105345224.591133,0.01485148514851485,2230.737816736401,11577.0,5004340.773399015,0.15841584158415842,1187.851362901117,6006.0,1750271.2857142857,0.1188118811881188,9799.08129859523,16429.53085148812,4009.7184880945847,112099836.6502463,0.9397446752738113,0.015613504336988169
vertical_shake,11635.137609721927,38620.0,136654151.1724138,0.01485148514851485,2447.7908413425603,11738.0,6006193.724137931,0.17326732673267325,1423.891042884547,7471.0,2241880.3201970444,0.1485148514851485,11118.326993935594,21873.43022939018,4613.57020892409,144902225.21674877,0.9430783479549932,0.015471676275803063
vertical_shake,11469.19452932741,37566.0,131569733.16831683,0.01990049751243781,2541.50312269325,12049.0,6459282.589108911,0.14427860696517414,1227.2403284072961,6406.0,1873216.8366336634,0.10945273631840796,10647.239370290175,20940.879470547556,5151.555724808019,139902232.5940594,0.9404405542982278,0.013389470646040317
rest,166.72909343945034,552.0,28061.41379310345,0.42574257425742573,154.745472709164,565.0,24182.07881773399,0.5099009900990099,128.7092219734467,330.0,17057.024630541873,0.45544554455445546,251.24039358195185,451.64034363639394,78.6052280332882,69300.5172413793,0.4049235836922151,0.24613127447708474
