label,gx_mean,gx_std,gx_min,gx_max,gx_range,gx_energy,gx_zcr,gy_mean,gy_std,gy_min,gy_max,gy_range,gy_energy,gy_zcr,gz_mean,gz_std,gz_min,gz_max,gz_range,gz_energy,gz_zcr,mag_mean,mag_max,mag_std,mag_energy,gy_gx_energy_ratio
horizontal_shake,-29.68472906403941,946.380909947264,-2368.0,2312.0,4680.0,896518.0098522167,0.06435643564356436,-127.80788177339902,12853.807024082464,-32158.0,22308.0,54466.0,165236689.86699507,0.0594059405940594,-248.20689655172413,786.5114698268465,-1664.0,3131.0,4795.0,680206.9556650246,0.1485148514851485,9773.396639039333,32339.535757335787,8443.585314813074,166813414.83251232,184.30939261803888
vertical_shake,365.0534759358289,6314.515979124311,-9467.0,11577.0,21044.0,40006376.09090909,0.021505376344086023,-1639.625668449198,17491.260944293674,-27792.0,27342.0,55134.0,308632581.7540107,0.03225806451612903,350.1336898395722,1982.6149772213535,-4845.0,4425.0,9270.0,4053355.748663102,0.11827956989247312,16751.136328003387,29503.28252923732,8490.685797638966,352692313.59358287,7.714584821496572
horizontal_shake,-20284.871921182264,25424.006638026072,-51487.0,14000.0,65487.0,1057856142.3891625,0.039603960396039604,-356.4433497536946,1254.356711269175,-2875.0,2562.0,5437.0,1700462.6206896552,0.0594059405940594,-107.07389162561576,605.6208713875577,-1528.0,2290.0,3818.0,378241.45812807884,0.09900990099009901,27074.189683511606,51582.94165710211,18081.01488991185,1059934846.4679803,0.0016074611211777522
horizontal_shake,-162.9655172413793,2010.4201981663375,-4120.0,4778.0,8898.0,4068347.133004926,0.06435643564356436,1395.8817733990147,19963.467722152174,-31477.0,32680.0,64157.0,400488529.41871923,0.019801980198019802,-1176.5911330049262,4044.955941270304,-8851.0,7170.0,16021.0,17746035.261083744,0.039603960396039604,18468.846539336613,33631.78276571137,9011.360569816406,422302911.81280786,98.44010757334613
horizontal_shake,2.5294117647058822,1067.7130930802282,-3064.0,2536.0,5600.0,1140017.6470588236,0.09359605911330049,516.7009803921569,10764.268965724965,-20106.0,15504.0,35610.0,116136466.26960784,0.024630541871921183,-110.08823529411765,1461.7127953658,-3226.0,2703.0,5929.0,2148723.7156862747,0.06403940886699508,9775.537908082459,20377.72138881087,4885.086103641959,119425207.63235295,101.87251624501856
vertical_shake,-2009.8029556650247,12062.412357499465,-20004.0,20676.0,40680.0,149541099.80295566,0.019801980198019802,-570.7586206896551,4277.466322919033,-12613.0,8355.0,20968.0,18622483.546798028,0.10891089108910891,-1025.8128078817733,1864.641262777035,-5549.0,3481.0,9030.0,4529178.955665025,0.08415841584158416,11739.560592109774,23459.371879911876,5905.54649542292,172692762.30541873,0.12453087192307755
vertical_shake,-597.1970443349753,10651.638293962576,-17533.0,22721.0,40254.0,113814042.65517241,0.01485148514851485,-102.91625615763547,2580.3839783539174,-9425.0,5358.0,14783.0,6668973.231527094,0.1188118811881188,-104.29556650246306,4207.633247813837,-10056.0,7645.0,17701.0,17715055.11330049,0.01485148514851485,10551.500666238919,24790.200221055093,5183.040101172251,138198071.0,0.05859534619758992
rest,10.25615763546798,147.54935184729354,-366.0,192.0,558.0,21876.0,0.5445544554455446,22.866995073891626,146.9377973832377,-160.0,386.0,546.0,22113.615763546797,0.4900990099009901,-10.206896551724139,130.6323632821286,-167.0,405.0,572.0,17168.995073891627,0.5445544554455446,238.9671851897219,557.0475742699182,63.66549489275637,61158.61083743842,1.010861938359243
vertical_shake,-693.1773399014778,16246.147565114223,-25897.0,26421.0,52318.0,264417805.5320197,0.019801980198019802,673.7044334975369,2668.2846653791617,-5450.0,6924.0,12374.0,7573620.719211822,0.10891089108910891,-669.4975369458128,1677.8842394306866,-5149.0,3005.0,8154.0,3263522.4729064037,0.11386138613861387,14699.906685770975,26631.92420761219,7692.053831959558,275254948.7241379,0.02864262754156582
rest,12.663366336633663,139.71514707196584,-375.0,185.0,560.0,19680.68316831683,0.48756218905472637,-27.57920792079208,150.74670961178077,-183.0,363.0,546.0,23485.18316831683,0.4577114427860697,-2.6930693069306932,131.6638190206186,-161.0,407.0,568.0,17342.61386138614,0.5970149253731343,239.56940532347002,439.58503159229616,55.81200794612873,60508.4801980198,1.1933113788511527
vertical_shake,3298.024630541872,13580.448422785064,-23765.0,23343.0,47108.0,195305545.8275862,0.019801980198019802,-152.05418719211823,1773.0528019331682,-4130.0,3699.0,7829.0,3166836.714285714,0.12871287128712872,501.7733990147783,2144.797834670592,-5091.0,5455.0,10546.0,4851934.295566502,0.10396039603960396,12650.051310002866,24375.088307532344,6580.312963053748,203324316.83743843,0.016214781310313463
horizontal_shake,859.9113300492611,2418.870968160672,-5304.0,5998.0,11302.0,6590384.256157636,0.0891089108910891,-3279.4827586206898,20522.03621638095,-35307.0,25063.0,60370.0,431908977.63054186,0.01485148514851485,102.93103448275862,2439.3622935481812,-6002.0,5575.0,11577.0,5961083.197044335,0.07920792079207921,18772.083811382916,35655.01269106491,9595.275632422414,444460445.0837439,65.53623595270543
horizontal_shake,612.9261083743843,1808.8032920192927,-2986.0,4818.0,7804.0,3647447.763546798,0.054455445544554455,1333.8226600985222,17442.860082571784,-29060.0,30279.0,59339.0,306032450.74876845,0.01485148514851485,-66.17733990147784,1980.6793575233303,-4396.0,5139.0,9535.0,3927470.157635468,0.0891089108910891,16116.625089214125,30576.461355101248,7339.057460169156,313607368.6699507,83.90317575135904
rest,-12.519607843137255,142.5921944892426,-395.0,171.0,566.0,20489.274509803923,0.5172413793103449,-35.294117647058826,142.0876274943267,-204.0,343.0,547.0,21434.56862745098,0.5172413793103449,-6.8431372549019605,127.62742537481782,-156.0,152.0,308.0,16335.588235294117,0.5073891625615764,234.8384739888185,463.65612257361596,55.77026543913919,58259.43137254902,1.0461360463102167
rest,-3.0492610837438425,146.43849912692903,-379.0,171.0,550.0,21453.532019704435,0.46534653465346537,40.77832512315271,141.69670351266944,-142.0,408.0,550.0,21740.827586206895,0.4158415841584158,-1.5763546798029557,126.91604545371004,-153.0,143.0,296.0,16110.167487684728,0.5247524752475248,236.47036596955647,570.2648507491936,58.19186465323216,59304.52709359606,1.0133915276159928
vertical_shake,-1517.2216748768474,18826.66060359298,-32904.0,32448.0,65352.0,356745111.09359604,0.04455445544554455,-41.52709359605911,2434.6460061730354,-5757.0,5994.0,11751.0,5929225.674876847,0.1485148514851485,-322.2413793103448,7176.8742647946665,-20185.0,14333.0,34518.0,51611363.719211824,0.0594059405940594,16720.94057460482,38165.03491417242,11605.853987889854,414285700.4876847,0.016620341780440685
