label,gx_mean,gx_std,gx_min,gx_max,gx_range,gx_energy,gx_zcr,gy_mean,gy_std,gy_min,gy_max,gy_range,gy_energy,gy_zcr,gz_mean,gz_std,gz_min,gz_max,gz_range,gz_energy,gz_zcr,mag_mean,mag_max,mag_std,mag_energy
horizontal_shake,-8.438423645320198,1514.0437291227875,-3549.0,3489.0,7038.0,2292399.620689655,0.07425742574257425,2181.669950738916,13371.963875074189,-19235.0,18046.0,37281.0,183569101.6502463,0.01485148514851485,-408.6502463054187,2212.0966851987782,-4323.0,4200.0,8523.0,5060366.768472906,0.06930693069306931,12797.300035402784,19523.824702142763,5210.660211843471,190921868.03940886
horizontal_shake,180.6305418719212,2216.857936315747,-5724.0,5638.0,11362.0,4947086.502463054,0.07920792079207921,214.89162561576356,19859.606132350596,-32711.0,32723.0,65434.0,394450134.14285713,0.019801980198019802,-679.5960591133005,3261.642344378759,-8513.0,5239.0,13752.0,11100161.586206896,0.04950495049504951,18031.350017544453,33628.120464872845,9239.469615531318,410497382.2315271
horizontal_shake,554.5665024630542,3234.827509164951,-4639.0,9509.0,14148.0,10771653.019704433,0.06930693069306931,-3330.1428571428573,23497.968907600243,-32684.0,32803.0,65487.0,563244394.2315271,0.019801980198019802,173.67980295566502,4441.7050193315,-10569.0,7673.0,18242.0,19758908.15270936,0.0297029702970297,21869.49725630969,34446.072214404936,10747.094731144956,593774955.4039409
horizontal_shake,289.38916256157637,2597.9198160682295,-4758.0,6830.0,11588.0,6832933.458128079,0.07920792079207921,-2.5665024630541873,22090.87203396341,-32642.0,32683.0,65325.0,488006633.8078818,0.019801980198019802,-743.0689655172414,3444.200979811199,-8094.0,6657.0,14751.0,12414671.876847291,0.0594059405940594,19926.781303832835,33251.278005514316,10496.553053839873,507254239.14285713
horizontal_shake,-162.9655172413793,2010.4201981663375,-4120.0,4778.0,8898.0,4068347.133004926,0.06435643564356436,1395.8817733990147,19963.467722152178,-31477.0,32680.0,64157.0,400488529.41871923,0.019801980198019802,-1176.5911330049262,4044.955941270304,-8851.0,7170.0,16021.0,17746035.261083744,0.039603960396039604,18468.846539336613,33631.78276571137,9011.360569816406,422302911.81280786
horizontal_shake,414.5911330049261,1821.2393780710563,-4478.0,4306.0,8784.0,3488798.6798029556,0.07425742574257425,-4027.753694581281,17285.531477553737,-29940.0,25078.0,55018.0,315012398.28571427,0.01485148514851485,260.09852216748766,3434.4836670537384,-6374.0,6770.0,13144.0,11863329.30049261,0.04455445544554455,16378.688161547147,30749.702844092655,7880.552034775541,330364526.26600987
horizontal_shake,-147.08823529411765,1659.4805506835226,-3132.0,3856.0,6988.0,2775510.6470588236,0.07881773399014778,2477.8529411764707,14025.6450338524,-20161.0,21327.0,41488.0,202858473.8137255,0.014778325123152709,-508.44607843137254,2966.3547068906755,-4194.0,5171.0,9365.0,9057777.661764706,0.034482758620689655,13580.946518701401,21587.500943833216,5499.9685252482395,214691762.12254903
horizontal_shake,695.3399014778325,3438.9971298114256,-5708.0,8084.0,13792.0,12310198.837438423,0.06435643564356436,-2189.064039408867,23099.934816423025,-32672.0,32839.0,65511.0,538398989.8916256,0.024752475247524754,-489.26600985221677,4992.744479404881,-11461.0,9319.0,20780.0,25166878.66502463,0.024752475247524754,21573.578409951442,33940.34397291813,10509.842148375303,575876067.3940886
horizontal_shake,513.4729064039409,2113.713015600775,-3263.0,4589.0,7852.0,4731437.137931035,0.07920792079207921,-2583.8374384236454,24126.370220730696,-32654.0,32832.0,65486.0,588757955.9359607,0.024752475247524754,207.48275862068965,5643.517418302877,-10483.0,9722.0,20205.0,31892337.945812806,0.04455445544554455,22213.451080118768,34297.19596410179,11486.70196927192,625381731.0197045
horizontal_shake,-48.13793103448276,1102.126426857638,-2654.0,2616.0,5270.0,1216999.921182266,0.0891089108910891,-387.26600985221677,16004.685021844401,-23353.0,25212.0,48565.0,256299917.61083743,0.024752475247524754,76.85221674876847,2108.6685986537304,-4231.0,3664.0,7895.0,4452389.522167488,0.04455445544554455,14723.60923314773,25364.459801068107,6721.951963808854,261969307.05418718
horizontal_shake,-27.87192118226601,1808.4947891312906,-3584.0,5070.0,8654.0,3271430.2463054187,0.06435643564356436,670.0541871921182,19489.144689824287,-29939.0,27206.0,57145.0,380275733.3546798,0.01485148514851485,-406.6896551724138,2153.1416334820783,-5821.0,4544.0,10365.0,4801415.369458128,0.034653465346534656,18042.09637154459,30435.08102502768,7926.622073136895,388348578.97044337
horizontal_shake,-42.28712871287129,1970.0518379702023,-5193.0,4511.0,9704.0,3882892.4455445544,0.10945273631840796,-282.0495049504951,23133.344360992905,-32675.0,32803.0,65478.0,535231173.24752474,0.01990049751243781,-811.990099009901,3068.4370872347718,-6507.0,5036.0,11543.0,10074634.079207921,0.06965174129353234,20926.288275043113,33429.166097885245,10548.89372408644,549188699.7722772
horizontal_shake,639.4137931034483,2761.2984141927777,-4509.0,6371.0,10880.0,8033618.931034483,0.06435643564356436,-4731.068965517241,24657.76876739614,-32688.0,32629.0,65317.0,630388574.1428572,0.019801980198019802,-407.55172413793105,4047.1684294807515,-9559.0,8208.0,17767.0,16545670.704433497,0.06435643564356436,22942.209022528717,33807.03194603158,11341.20403418116,654967863.7783251
horizontal_shake,936.8039215686274,2740.781733479129,-4015.0,7409.0,11424.0,8389486.098039215,0.06896551724137931,1261.6470588235295,24231.32997375508,-32678.0,32809.0,65487.0,588749105.5980393,0.024630541871921183,-554.9754901960785,3373.291646702519,-6796.0,7837.0,14633.0,11687094.328431373,0.07389162561576355,22007.19796139369,34265.12015154769,11158.356685127887,608825686.0245098
horizontal_shake,-11.305418719211822,1079.5095243319286,-2505.0,4393.0,6898.0,1165468.6256157635,0.15841584158415842,-987.6453201970444,12901.941675474856,-26818.0,17186.0,44004.0,167435542.27586207,0.009900990099009901,-337.8817733990148,1881.4575698132799,-4364.0,3220.0,7584.0,3654046.6798029556,0.039603960396039604,11796.833132816962,27187.216426107327,5752.37217309108,172255057.5812808
horizontal_shake,90.27093596059113,2163.1795655926594,-4011.0,6991.0,11002.0,4687494.674876847,0.04455445544554455,-2101.399014778325,24077.944025926798,-32690.0,32543.0,65233.0,584163266.3349754,0.019801980198019802,-383.6256157635468,3444.8454372348024,-6261.0,8483.0,14744.0,12014128.69950739,0.0594059405940594,21854.145165077498,34317.242284309505,11102.30736437608,600864889.7093596
horizontal_shake,460.2216748768473,2190.9053047333023,-3221.0,4857.0,8078.0,5011870.044334975,0.07425742574257425,-630.4334975369458,22931.27932125935,-32637.0,32826.0,65463.0,526241017.7044335,0.024752475247524754,-525.320197044335,2374.2324538183907,-4829.0,6566.0,11395.0,5912941.054187193,0.10396039603960396,20753.396445296567,33057.563461332116,10318.060127141482,537165828.8029556
horizontal_shake,2.5294117647058822,1067.7130930802282,-3064.0,2536.0,5600.0,1140017.6470588236,0.09359605911330049,516.7009803921569,10764.268965724963,-20106.0,15504.0,35610.0,116136466.26960784,0.024630541871921183,-110.08823529411765,1461.7127953658,-3226.0,2703.0,5929.0,2148723.7156862747,0.06403940886699508,9775.53790808246,20377.72138881087,4885.086103641958,119425207.63235295
horizontal_shake,546.3004926108374,3049.02531197331,-5049.0,6437.0,11486.0,9594999.581280788,0.07425742574257425,-3906.822660098522,24374.78089244615,-32640.0,32847.0,65487.0,609393206.8522167,0.0297029702970297,-863.3448275862069,2453.5934096769556,-5996.0,5022.0,11018.0,6765484.911330049,0.07920792079207921,22528.62241319558,33402.67071657594,10872.665887834917,625753691.3448275
horizontal_shake,455.13300492610836,1996.6829727424783,-4014.0,5226.0,9240.0,4193888.945812808,0.06435643564356436,3453.270935960591,24373.44396024583,-32643.0,32844.0,65487.0,605989850.6403941,0.019801980198019802,-609.3891625615763,1575.285315084845,-2935.0,3636.0,6571.0,2852878.975369458,0.04950495049504951,22584.7111865642,33039.1897146404,10147.28728188268,613036618.5615764
horizontal_shake,549.1330049261084,1841.1417738921614,-3026.0,4944.0,7970.0,3691350.0886699506,0.06930693069306931,-270.6009852216749,21993.994703288325,-32682.0,32801.0,65483.0,483809027.9014778,0.019801980198019802,-285.3990147783251,1845.9325792381,-3918.0,3831.0,7749.0,3488919.684729064,0.09405940594059406,19565.551457584304,33005.38454555559,10400.889088702843,490989297.67487687
horizontal_shake,240.0295566502463,2562.1379117700435,-3988.0,7890.0,11878.0,6622164.866995074,0.09900990099009901,-88.35467980295566,22321.054803905023,-32668.0,32819.0,65487.0,498237294.10837436,0.019801980198019802,-491.0886699507389,3191.494669992547,-7762.0,5787.0,13549.0,10426806.310344828,0.0594059405940594,20282.575928295548,33926.424524255424,10193.300692054578,515286265.28571427
horizontal_shake,845.8817733990148,2295.990376435095,-4004.0,5872.0,9876.0,5987087.783251232,0.054455445544554455,-618.1083743842364,20165.04520540528,-31146.0,30189.0,61335.0,407011106.0985222,0.01485148514851485,-99.33004926108374,2838.6069077598213,-4399.0,7073.0,11472.0,8067555.63546798,0.019801980198019802,18924.067873122436,31638.37393103508,7933.814004039719,421065749.51724136
horizontal_shake,342.064039408867,2221.048900311254,-4647.0,4127.0,8774.0,5050066.024630542,0.06435643564356436,2063.7783251231526,21594.484881005686,-32510.0,31555.0,64065.0,470580958.25123155,0.019801980198019802,-846.320197044335,2372.9129281262985,-5361.0,5723.0,11084.0,6346973.640394089,0.039603960396039604,19922.377668809193,32538.705644201644,9223.712156045869,481977997.9162561
horizontal_shake,-26.527093596059114,1471.2060040690408,-3781.0,2859.0,6640.0,2165150.793103448,0.06435643564356436,4628.04433497537,17134.211066171196,-27725.0,28760.0,56485.0,314999983.226601,0.019801980198019802,-676.7192118226601,1723.7244030615002,-4293.0,3990.0,8283.0,3429174.709359606,0.054455445544554455,15938.371535802473,28842.41408065559,8158.591883149069,320594308.72906405
horizontal_shake,42.004926108374384,1533.1460988982317,-4911.0,2745.0,7656.0,2352301.3743842365,0.07920792079207921,-2679.753694581281,16862.468239013757,-23352.0,27291.0,50643.0,291523914.97536945,0.01485148514851485,-27.06896551724138,2818.7031142841706,-4590.0,5508.0,10098.0,7945819.975369458,0.024752475247524754,16111.535116527743,27468.772724677743,6499.267075141346,301822036.32512313
horizontal_shake,610.6699507389162,1557.869235877041,-2998.0,3848.0,6846.0,2799874.3448275863,0.0891089108910891,-3275.911330049261,14951.598383737799,-24275.0,29256.0,53531.0,234281889.27093595,0.01485148514851485,266.5566502463054,2451.9566612127596,-4287.0,5697.0,9984.0,6083143.916256158,0.06435643564356436,14034.370855254638,29395.79930874478,6797.156922508029,243164907.5320197
horizontal_shake,492.02463054187194,2330.529362133788,-4033.0,4809.0,8842.0,5673455.344827586,0.04455445544554455,2821.2512315270938,21388.672117425496,-32683.0,32772.0,65455.0,465434753.4581281,0.024752475247524754,-992.6453201970444,2338.096628594632,-4867.0,6419.0,11286.0,6452040.57635468,0.07425742574257425,19406.41951506859,33242.180448941675,10047.444002554828,477560249.37931037
